P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell,group_label,pi_zj,ug,ug_shrunk,wage_anchor_monthly,income_anchor,q_g,r_g,tau_si,w_g,m_L,k_L,C_cash_zj,A_C,u_g_used,C_childcare_zj,SC_g,C_leave_birth_allowance,C_leave_socsub,C_leave_zj,C_total_zj,scenario,scenario_note
1,1,2,2,2,1,7.87866572101761,7.655822934459119,0.2228427865584912,1-1-2,2-2-1,38,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,10800.0,0.0,0.7333333333333333,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,19964.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,2,2,2,7.580933283800611,7.655822934459119,-0.0748896506585072,1-1-2,2-2-2,13,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,10800.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,26124.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,2,3,1,7.8577622469267165,7.655822934459119,0.2019393124675979,1-1-2,2-3-1,38,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,10800.0,0.0,0.7333333333333333,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,25113.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,2,3,2,7.781492220315906,7.655822934459119,0.1256692858567873,1-1-2,2-3-2,6,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,10800.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,31273.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,3,1,1,8.170545715282753,7.655822934459119,0.5147227808236341,1-1-2,3-1-1,38,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,21600.0,0.0,0.7333333333333333,0.0,1673.3166666666666,0.0,0.0,0.0,21600.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,3,1,2,8.164805314376554,7.655822934459119,0.5089823799174358,1-1-2,3-1-2,13,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,0.0,0,21600.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,0.0,0.0,0.0,27760.0,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,3,2,1,8.324806953321591,7.655822934459119,0.6689840188624725,1-1-2,3-2-1,0,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,21600.0,0.0,0.7333333333333333,0.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,30764.626666666667,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,3,2,2,7.931958073186707,7.655822934459119,0.2761351387275885,1-1-2,3-2-2,0,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,1.0,6,21600.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,5148.666666666667,4015.96,9164.626666666667,36924.62666666666,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,3,3,1,8.40081231336468,7.655822934459119,0.7449893789055615,1-1-2,3-3-1,37,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,21600.0,0.0,0.7333333333333333,0.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,35913.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
1,1,2,3,3,2,8.229425843835983,7.655822934459119,0.5736029093768646,1-1-2,3-3-2,12,首胎/无子女|中低收入|有祖辈照护,0.0390625,0.7333333333333333,0.7327083333333334,6435.833333333333,中低收入→私营单位平均工资,0.8,1.0,0.26,6435.833333333333,2.0,6,21600.0,8400.0,0.7333333333333333,6160.0,1673.3166666666666,10297.333333333334,4015.96,14313.293333333335,42073.293333333335,main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}"
