P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell
3,1,1,2,1,1,6.19834687943325,6.155491309140284,0.04285557029296605,3-1-1,2-1-1,72
3,1,1,2,1,2,6.783602937328066,6.155491309140284,0.6281116281877823,3-1-1,2-1-2,25
3,1,1,2,2,1,6.412463567033618,6.155491309140284,0.25697225789333444,3-1-1,2-2-1,38
3,1,1,2,2,2,6.610611145699746,6.155491309140284,0.4551198365594624,3-1-1,2-2-2,8
3,1,1,2,3,1,6.582293636882945,6.155491309140284,0.4268023277426618,3-1-1,2-3-1,70
3,1,1,2,3,2,7.001903626155264,6.155491309140284,0.8464123170149804,3-1-1,2-3-2,20
3,1,1,3,1,1,6.528128244893124,6.155491309140284,0.3726369357528405,3-1-1,3-1-1,0
3,1,1,3,1,2,7.018267859870054,6.155491309140284,0.8627765507297704,3-1-1,3-1-2,0
3,1,1,3,2,1,6.675534409389275,6.155491309140284,0.5200431002489916,3-1-1,3-2-1,35
3,1,1,3,2,2,6.778565545137516,6.155491309140284,0.6230742359972323,3-1-1,3-2-2,12
3,1,1,3,3,1,6.942273313372585,6.155491309140284,0.7867820042323013,3-1-1,3-3-1,69
3,1,1,3,3,2,7.266766859727016,6.155491309140284,1.1112755505867327,3-1-1,3-3-2,27
3,1,2,1,1,1,6.864046653214636,6.864046653214636,0.0,3-1-2,1-1-1,9
3,1,2,1,1,2,6.944536880917644,6.864046653214636,0.08049022770300773,3-1-2,1-1-2,37
3,1,2,1,2,1,6.904904454419199,6.864046653214636,0.04085780120456306,3-1-2,1-2-1,9
3,1,2,1,2,2,6.598286202893519,6.864046653214636,-0.2657604503211175,3-1-2,1-2-2,34
3,1,2,1,3,1,6.969949733636492,6.864046653214636,0.10590308042185548,3-1-2,1-3-1,0
3,1,2,1,3,2,6.884793892717001,6.864046653214636,0.02074723950236468,3-1-2,1-3-2,0
3,1,2,2,1,1,6.943272940628437,6.864046653214636,0.07922628741380056,3-1-2,2-1-1,12
3,1,2,2,1,2,7.207131579321987,6.864046653214636,0.343084926107351,3-1-2,2-1-2,34
3,1,2,2,2,1,7.0341647084397785,6.864046653214636,0.17011805522514223,3-1-2,2-2-1,0
3,1,2,2,2,2,6.910914867904642,6.864046653214636,0.04686821469000613,3-1-2,2-2-2,0
3,1,2,2,3,1,7.138293023971455,6.864046653214636,0.2742463707568188,3-1-2,2-3-1,0
3,1,2,2,3,2,7.236505594042507,6.864046653214636,0.3724589408278707,3-1-2,2-3-2,0
3,1,2,3,1,1,7.353739946650805,6.864046653214636,0.48969329343616863,3-1-2,3-1-1,12
3,1,2,3,1,2,7.522482142426469,6.864046653214636,0.6584354892118327,3-1-2,3-1-2,35
3,1,2,3,2,1,7.377921191357929,6.864046653214636,0.513874538143293,3-1-2,3-2-1,10
3,1,2,3,2,2,7.159554907904908,6.864046653214636,0.2955082546902714,3-1-2,3-2-2,31
3,1,2,3,3,1,7.578958341023588,6.864046653214636,0.7149116878089519,3-1-2,3-3-1,10
3,1,2,3,3,2,7.582054468176754,6.864046653214636,0.7180078149621174,3-1-2,3-3-2,33
3,2,1,1,1,1,6.2664501184659125,6.2664501184659125,0.0,3-2-1,1-1-1,0
3,2,1,1,1,2,6.756555382433918,6.2664501184659125,0.49010526396800547,3-2-1,1-1-2,0
3,2,1,1,2,1,6.551817008247071,6.2664501184659125,0.28536688978115876,3-2-1,1-2-1,35
3,2,1,1,2,2,6.654813792986393,6.2664501184659125,0.3883636745204804,3-2-1,1-2-2,11
3,2,1,1,3,1,6.675326414893181,6.2664501184659125,0.40887629642726875,3-2-1,1-3-1,36
3,2,1,1,3,2,6.999785610238687,6.2664501184659125,0.7333354917727748,3-2-1,1-3-2,9
3,2,1,2,1,1,6.328469154135117,6.2664501184659125,0.06201903566920475,3-2-1,2-1-1,0
3,2,1,2,1,2,7.001942829093666,6.2664501184659125,0.7354927106277538,3-2-1,2-1-2,0
3,2,1,2,2,1,6.663870010523056,6.2664501184659125,0.3974198920571439,3-2-1,2-2-1,36
3,2,1,2,2,2,6.950235206252918,6.2664501184659125,0.6837850877870055,3-2-1,2-2-2,9
3,2,1,2,3,1,6.826462453483549,6.2664501184659125,0.5600123350176363,3-2-1,2-3-1,0
3,2,1,2,3,2,7.334290059819599,6.2664501184659125,1.0678399413536868,3-2-1,2-3-2,0
3,2,1,3,1,1,6.295779327426025,6.2664501184659125,0.02932920896011293,3-2-1,3-1-1,34
3,2,1,3,1,2,6.874136559466689,6.2664501184659125,0.6076864410007765,3-2-1,3-1-2,12
3,2,1,3,2,1,6.5644696607097455,6.2664501184659125,0.298019542243833,3-2-1,3-2-1,32
3,2,1,3,2,2,6.7557184135217225,6.2664501184659125,0.48926829505581004,3-2-1,3-2-2,7
3,2,1,3,3,1,6.823970937804221,6.2664501184659125,0.5575208193383085,3-2-1,3-3-1,36
3,2,1,3,3,2,7.236682101222386,6.2664501184659125,0.9702319827564736,3-2-1,3-3-2,13
3,2,2,1,1,1,6.975005462540265,6.975005462540265,0.0,3-2-2,1-1-1,10
3,2,2,1,1,2,7.1437133073070065,6.975005462540265,0.1687078447667414,3-2-2,1-1-2,36
3,2,2,1,2,1,7.137147432532398,6.975005462540265,0.16214196999213293,3-2-2,1-2-1,13
3,2,2,1,2,2,6.918746798070453,6.975005462540265,-0.0562586644698122,3-2-2,1-2-2,36
3,2,2,1,3,1,7.194955084860856,6.975005462540265,0.21994962232059123,3-2-2,1-3-1,22
3,2,2,1,3,2,7.1980168610051,6.975005462540265,0.22301139846483498,3-2-2,1-3-2,72
3,2,2,2,1,1,7.073395215330303,6.975005462540265,0.09838975279003748,3-2-2,2-1-1,20
3,2,2,2,1,2,7.4254714710875875,6.975005462540265,0.45046600854732244,3-2-2,2-1-2,72
3,2,2,2,2,1,7.285571151929216,6.975005462540265,0.3105656893889508,3-2-2,2-2-1,19
3,2,2,2,2,2,7.250538928457813,6.975005462540265,0.27553346591754746,3-2-2,2-2-2,73
3,2,2,2,3,1,7.3824618405720575,6.975005462540265,0.40745637803179235,3-2-2,2-3-1,16
3,2,2,2,3,2,7.568892027706844,6.975005462540265,0.5938865651665788,3-2-2,2-3-2,38
3,2,2,3,1,1,7.121391029183706,6.975005462540265,0.14638556664344105,3-2-2,3-1-1,18
3,2,2,3,1,2,7.378350842023103,6.975005462540265,0.4033453794828379,3-2-2,3-1-2,69
3,2,2,3,2,1,7.2668564426783995,6.975005462540265,0.2918509801381344,3-2-2,3-2-1,0
3,2,2,3,2,2,7.136707776289111,6.975005462540265,0.16170231374884558,3-2-2,3-2-2,0
3,2,2,3,3,1,7.460655965455225,6.975005462540265,0.48565050291496004,3-2-2,3-3-1,8
3,2,2,3,3,2,7.551969709672123,6.975005462540265,0.5769642471318583,3-2-2,3-3-2,36
